constituency,reform_vote_share,is_scotland,leave_vote_share,degree_pct,median_age,median_weekly_wage,claimant_rate,foreign_born_pct,population_density,ethnic_minority_pct,deprivation_score
Stoke-on-Trent North,24.409405255878283,0,71.8958796,20.792769464432435,39.0,647.5,5.6000000000000005,9.661763,2175.505844370576,12.971749799999998,32.45489449777088
Stoke-on-Trent South,21.618386986468664,0,65.27896847,25.813154215072597,43.0,716.7,3.5000000000000004,7.3013016,608.8860935467002,10.137210000000096,24.578441604475728
Stourbridge,19.73268468829931,0,63.66746006,26.97396107311941,42.0,712.3,5.0,7.479733500000001,3236.419670105852,13.286659500000098,25.72604949488645
Stratford and Bow,4.818694601128122,0,39.37477318,48.437874244325855,31.0,958.2,6.800000000000001,47.8069181,12222.54209512284,60.81560619999999,28.83076661212045
Stratford-on-Avon,14.639626881172228,0,50.69437004,39.253693964437765,49.0,830.3,2.1,9.0372783,162.85701379055655,4.686356800000002,11.876145609753609
Streatham and Croydon North,4.475568424124077,0,34.10506084,48.674207305766735,36.0,896.3,7.1,40.1459621,8756.606951249156,50.6236742,22.7834844930555
Stretford and Urmston,11.92339463501587,0,48.98070161,35.671838281432635,38.0,826.6,4.4,15.1787453,2260.8171239821163,26.515646400000005,22.861490841283445
Stroud,11.461219463609858,0,47.31165724,37.50407503071946,47.0,741.1,2.1,6.2406309,352.7763638061152,3.3732345,11.114200788746391
Suffolk Coastal,15.874299811935046,0,53.63028682,30.769617896100957,52.0,717.2,2.2,7.1580322,136.30522570364064,4.160057500000002,15.943132248374075
Sunderland Central,26.97649973721751,0,58.48951503999999,28.145601518120092,40.0,633.1,4.5,9.1413722,3418.3101247965246,10.478879500000003,31.42676334838829
Surrey Heath,13.082782288440614,0,50.97508632,38.8181183626664,42.0,915.8,2.2,16.7089604,785.3584247545136,14.534078000000097,8.272938603851372
Sussex Weald,18.13929842399593,0,54.28223079,32.73855290717714,48.0,876.8,2.2,7.546850699999999,197.53437775950923,3.7746100999999976,12.607480553112952
Sutton and Cheam,12.156030752426163,0,51.90048665,42.1398929452096,40.0,824.1,3.1,30.785225500000003,5863.883069344624,32.07003710000001,10.961926803600624
Sutton Coldfield,16.992530982972298,0,46.46082911,41.22118064352673,45.0,846.0,2.8000000000000003,10.2748686,1678.7654758502977,18.5561902,16.00432077450505
Swansea West,17.516897102953138,0,52.20108455,30.119555739134423,35.0,681.3,4.3,13.9281891,3210.4805259598925,13.417224100000002,29.884324198016607
Swindon North,17.110834371108343,0,57.43294043,26.366723662961903,39.0,770.3,3.0,15.2251504,1086.618206415148,13.2067104,18.303877620413648
Swindon South,13.827744787248292,0,53.08079241,28.499282451277896,39.0,745.8,3.7,26.8718042,3604.994912895646,25.0765165,19.647076374211803
Tamworth,25.130172650041107,0,65.67618491,24.676590250200988,42.0,761.3,3.0,6.622178400000001,541.0130723210942,5.303282899999995,18.97998555634629
Tatton,11.45851393785278,0,44.01539551,44.976773727536525,46.0,921.1,1.9,7.999870400000001,279.63911668771595,7.234332099999996,10.39564097069085
Taunton and Wellington,16.01185032011771,0,53.70399963,32.89294055261584,43.0,726.5,2.4,10.8664328,391.7408780477011,5.533366100000004,18.131992520073776
Telford,24.82199852688436,0,66.26080522,24.096473066724784,38.0,669.5,4.2,11.059495,2152.611724986482,10.999604700000098,29.30636850934267
Tewkesbury,12.361194091349224,0,53.2797054,34.976938143678524,43.0,759.5,2.3,9.4956038,313.36205001825493,6.212500300000001,12.660727508892531
The Wrekin,19.83206717313075,0,59.78646288,29.66509850372672,42.0,766.6,2.8000000000000003,10.3423172,224.18528229184315,11.039307499999996,18.204167521495748
Thirsk and Malton,17.999076249573267,0,58.10796969,32.048674129383535,51.0,694.2,2.0,5.1052291,50.28157664841107,1.9176356999999975,15.432211029864003
Thornbury and Yate,14.107969344351378,0,51.28843955,33.15207316319594,44.0,753.7,2.2,6.1805176,224.8609743315255,3.955685600000003,10.728461678130884
Thurrock,25.49656531231695,0,69.67085738,28.81651674433727,35.0,828.6,4.9,26.3777748,1749.134892289792,28.8211776,22.50328255716332
Tipton and Wednesbury,25.17739403453689,0,70.76024659,18.936525110449917,37.0,632.7,6.7,16.8178253,4276.654294349743,29.4462255,37.15099511781795
Tiverton and Minehead,16.396790970920804,0,56.47421502,30.659323530939886,51.0,694.6,2.4,5.8229982,71.55675442977135,1.869423299999995,19.431136588286524
Tonbridge,14.997615641392466,0,53.10073469,35.3307442541542,44.0,846.7,2.3,9.4915688,327.1772271511516,6.725276300000004,12.759059159177518
Tooting,4.808945469656045,0,25.47061651,61.77627692890657,32.0,1051.0,4.2,34.0868882,9634.247739653949,33.4483387,16.740397871711497
Torbay,18.779139108749863,0,62.49771878,25.236416732258764,48.0,697.9,3.7,8.0355609,1131.3124886570054,4.3033661000001056,29.381716582521378
Torfaen,21.996919198991737,0,59.78107345,26.796959248066248,42.0,757.0,3.7,3.5599508,745.5503042202632,2.9043253999999963,24.53377959557257
Torridge and Tavistock,18.00865800865801,0,58.43721248,28.503119787483783,53.0,679.1,2.8000000000000003,4.2692002,59.39061881850119,1.8021528000000009,21.761611762444744
Tottenham,3.9902361263325696,0,33.97248814,41.15045460775803,33.0,815.5,9.3,50.6740295,11599.873545298384,52.972040800000094,35.13690756800147
Truro and Falmouth,12.26126054432596,0,46.89905404,37.213035201015344,43.0,689.5,2.5,6.937687100000001,220.64046159985375,4.788791100000001,18.040795619425595
Tunbridge Wells,11.952073732718894,0,44.57483913,41.50115855676928,42.0,894.5,2.5,13.9260743,441.4266781909705,8.781514999999995,11.10861676415051
Twickenham,7.629346508809546,0,32.30591907,58.23144460746641,42.0,1079.9,2.7,25.6394781,3911.6898054512494,18.837062200000094,9.205415686818265
Tynemouth,15.267049444421495,0,46.69005443,37.50143222701753,45.0,766.6,3.3000000000000003,5.3587383,2771.2846243747745,4.862882199999996,21.2567124091782
Uxbridge and South Ruislip,14.396480376355797,0,57.84509768,38.75165300185136,36.0,871.9,4.5,32.8161134,3111.2100536650937,42.5139226,15.601424503515958
Vale of Glamorgan,15.216252782263345,0,52.87268889,34.28537938579355,43.0,788.8,3.5000000000000004,5.1211012,323.18253082140643,4.811022499999995,18.99503581018117
Vauxhall and Camberwell Green,5.416133844842284,0,24.18874643,53.28768514027231,32.0,941.8,6.5,44.0216695,13780.164841779191,51.034119200000006,27.344800825282697
Wakefield and Rothwell,20.7275678866588,0,61.73732558,27.102227085928494,39.0,728.8,4.4,13.4086423,1830.7860169522417,13.6425323,26.30045072369348
Wallasey,15.622514387311094,0,53.09346215,27.059975084534614,43.0,696.0,4.1000000000000005,4.6328698,2529.625614236016,4.3523113,34.60798423155226
Walsall and Bloxwich,19.60958296362023,0,64.95343466,23.24261518523484,34.0,633.6,8.1,21.9617721,3903.517801752132,41.284575700000005,40.11853207328833
Walthamstow,4.020320574581764,0,35.945674,46.8031957720019,35.0,924.1,7.6,40.7391069,7713.238637251178,49.51518179999999,26.89867453344597
